Product,Brand,Quantity Sold,Region,Core Specification,Processor Specification,RAM,ROM,SSD,Price
1,9,6,0,4,8,12,128,0,78570
0,12,1,3,1,4,8,512,256,44613
1,15,5,0,4,1,8,256,0,159826
0,16,1,3,7,13,12,64,2048,20911
0,8,4,1,7,13,8,128,2048,69832
0,5,1,0,7,13,16,64,256,190474
1,3,6,2,4,0,16,256,0,11670
0,1,1,3,7,13,12,128,256,15041
0,1,3,1,6,12,16,64,1024,186647
1,9,10,2,4,1,6,64,0,174698
1,1,9,2,4,10,4,256,0,51251
1,17,8,1,4,9,6,512,0,179710
1,13,6,4,4,8,16,512,0,132370
0,10,10,0,0,3,12,256,256,195641
0,7,1,4,5,11,6,128,512,121462
1,15,7,1,4,2,16,256,0,57148
1,5,9,2,4,0,12,128,0,136094
1,4,9,4,4,10,4,1,0,89801
1,0,4,0,4,2,12,256,0,54134
0,12,8,4,7,13,16,512,1024,138695
0,19,8,3,6,12,6,128,1024,168076
0,8,1,4,7,13,16,1,1024,86089
0,16,8,0,1,4,16,512,2048,185556
0,10,9,2,0,3,8,64,1024,55049
0,7,9,3,1,4,12,256,512,9395
1,13,6,4,4,9,8,64,0,132523
0,19,2,3,7,13,8,64,2048,87053
0,5,10,0,5,11,32,512,512,29617
0,15,2,4,0,3,16,1,512,133951
0,14,6,3,8,14,6,512,512,11675
1,5,8,0,4,7,12,128,0,97112
0,13,5,1,1,4,4,1,256,81871
0,0,5,0,0,3,8,1,2048,28150
1,19,4,3,4,8,16,512,0,66535
1,3,8,2,4,10,32,512,0,104292
1,15,6,4,4,10,32,64,0,27749
1,5,4,4,4,8,16,512,0,161473
1,7,2,3,4,10,4,256,0,69287
1,10,7,3,4,8,32,128,0,97802
1,19,9,4,4,8,8,64,0,107133
1,19,5,2,4,9,4,512,0,7670
0,2,8,0,2,5,8,512,256,88221
0,8,8,3,2,5,4,128,2048,144051
0,17,6,0,6,12,6,64,2048,64073
0,4,3,1,5,11,6,256,512,149785
0,12,4,2,3,6,6,512,2048,153916
1,13,7,2,4,0,32,256,0,67598
0,15,9,1,2,5,4,64,2048,61230
1,2,3,0,4,0,6,64,0,9522
1,18,9,0,4,1,4,64,0,59309
1,9,3,0,4,8,4,64,0,154020
0,18,4,4,5,11,6,128,1024,159254
0,19,8,2,7,13,4,64,1024,165298
1,4,4,4,4,9,6,512,0,89297
1,19,4,0,4,7,16,128,0,75366
0,15,4,4,1,4,16,128,256,105696
1,14,4,4,4,7,12,1,0,185287
0,0,5,2,7,13,12,1,256,124578
0,15,6,4,2,5,32,256,512,26317
1,4,4,4,4,10,6,64,0,150746
0,9,7,4,2,5,4,256,256,51818
0,10,1,1,1,4,32,256,1024,148517
0,10,5,0,5,11,4,1,256,111353
1,13,9,2,4,2,32,128,0,23100
0,11,3,2,5,11,12,256,256,136232
1,5,4,0,4,2,8,128,0,86484
0,4,3,4,5,11,12,64,1024,37405
1,4,8,4,4,1,12,256,0,9270
0,19,8,3,2,5,8,64,512,11902
0,0,7,0,2,5,8,256,256,105601
